"credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid"
1,"major_purchase",0.0932,127.79,10.87426647,0.59,742,3749.958333,630,7.9,1,0,0,0
1,"small_business",0.1347,203.54,10.59663473,4.62,677,2249.958333,7110,58.3,0,0,1,0
0,"all_other",0.08,141.02,10.16600565,1.43,767,929.9583333,1057,23.5,0,0,0,0
1,"small_business",0.1316,378.23,11.06350847,4.25,732,5219.958333,8897,19.1,3,0,0,1
1,"debt_consolidation",0.0932,319.47,10.98529272,11.02,757,3510.041667,2710,5.7,0,0,0,0
0,"debt_consolidation",0.1218,133.2,11.15625052,22.75,697,7860,146743,52.7,2,0,0,1
1,"debt_consolidation",0.1474,207.23,11.35040654,15.02,667,5939.958333,36120,91.2,1,0,0,0
1,"credit_card",0.0894,381.26,10.95080655,18.99,752,2849.958333,25577,30.8,1,0,0,0
1,"home_improvement",0.1114,131.22,10.96819829,5.86,717,4230.041667,823,5.1,0,0,0,0
1,"major_purchase",0.1253,187.42,10.46310334,14.43,702,8130.958333,15341,40.2,1,0,0,1
1,"home_improvement",0.1392,682.74,13.45883561,3.09,697,3869.958333,6960,44.6,0,0,0,1
0,"all_other",0.1221,199.89,10.81977828,0.79,737,1440,2768,23.3,4,0,0,0
0,"debt_consolidation",0.1982,166.83,10.85892207,23.52,682,4289.958333,5444,37.3,10,0,0,0
1,"all_other",0.1284,201.71,10.35774282,5.83,742,11069.95833,7699,69.4,1,0,0,1
1,"debt_consolidation",0.1253,66.94,11.00209984,4.12,687,3600,3021,18.1,1,0,0,0
1,"all_other",0.08,125.35,10.77895629,2.77,772,3150,703,2.3,0,0,0,0
1,"small_business",0.1316,515,11.1844214,17.68,722,5310,6759,0,3,0,0,0
1,"home_improvement",0.1051,390.09,11.91839057,2.92,827,8763,84236,4.6,0,0,0,0
1,"debt_consolidation",0.08,156.69,10.37098805,10.71,762,2309.041667,1698,7.9,0,0,0,0
1,"all_other",0.0774,93.66,11.62621844,15.26,737,10680,32380,64.2,2,0,0,0
0,"debt_consolidation",0.1531,522.23,11.60823564,11.18,697,7619.958333,38352,42.8,7,0,0,1
0,"all_other",0.1533,365.69,11.03488966,1.72,642,1470,1437,95.8,13,0,0,1
0,"all_other",0.1253,502,11.08214255,14.7,722,3510,39458,38,5,0,0,0
1,"home_improvement",0.0832,149.55,10.6454249,5.49,747,13259.95833,398,1.2,3,2,0,1
1,"all_other",0.0774,62.44,9.392661929,14.9,757,5438,2234,21.6,0,0,0,0
1,"home_improvement",0.1189,464.3,11.58988651,11.34,732,3719.958333,47016,37.1,0,0,0,0
1,"all_other",0.0932,223.63,10.59653473,0.3,747,1649.958333,1127,11.7,0,0,0,0
0,"all_other",0.087,177.3,9.071078305,17.52,727,4351,9419,26.5,1,0,0,0
1,"debt_consolidation",0.1095,327.14,10.81977828,22.46,727,4169.958333,10593,37.2,0,0,0,0
0,"all_other",0.1324,169.05,10.23995979,19.54,667,3960.041667,13542,56.4,5,1,0,1
1,"small_business",0.1091,604.88,10.49127422,4.67,697,1410,25,0.2,2,0,0,0
0,"educational",0.1287,121.08,10.08580911,3.4,707,1380.041667,2650,26.2,4,0,0,0
0,"major_purchase",0.133,84.6,10.12502982,0.96,652,180.0416667,177,88.5,1,0,0,1
1,"debt_consolidation",0.1183,256.79,9.952277717,17.43,707,2130,11212,44.5,1,0,0,0
0,"educational",0.1854,109.28,10.69194491,26.68,647,9840,20685,89.5,2,0,0,0
1,"debt_consolidation",0.1209,432.35,10.81977828,11.16,717,3450.041667,12941,96.6,0,0,0,0
1,"small_business",0.1531,530.94,11.98292909,19.72,727,5940,6563,17.9,1,0,0,0
1,"credit_card",0.1126,87.09,10.77895629,20.8,702,15419.95833,8129,63,1,0,0,0
1,"debt_consolidation",0.1316,713.4,12.08168787,11.47,707,3779.958333,113283,81.2,2,0,0,0
1,"debt_consolidation",0.1663,141,11.47210347,18.46,682,11490,39502,87.6,0,0,0,0
1,"home_improvement",0.0996,644.97,11.21171226,13.28,732,1770,2344,9.8,1,0,0,0
0,"debt_consolidation",0.1608,246.38,11.05089001,22.74,647,5519.958333,13910,77.7,0,1,0,0
1,"home_improvement",0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,0
0,"all_other",0.1355,407.52,10.59663473,3.9,662,3270,6560,37.9,10,0,0,1
1,"all_other",0.157,112.04,10.76880073,2.32,672,1444,2340,38.4,0,0,0,0
1,"debt_consolidation",0.1357,271.75,10.65725935,24.99,697,1800,6382,74.2,1,0,0,0
1,"debt_consolidation",0.1459,413.58,10.87804719,16.53,687,1201.041667,9114,54.6,0,0,0,0
1,"debt_consolidation",0.0963,320.95,10.30895266,15.88,762,3630,4532,33.6,0,0,0,1
1,"major_purchase",0.1183,297.38,10.08580911,20.65,732,2069.041667,2678,33.5,1,0,0,0
0,"all_other",0.1531,139.27,10.55581274,8.34,667,3810.041667,1151,9.8,6,0,0,0
0,"home_improvement",0.0932,127.79,11.51292546,10.78,737,2310.041667,116648,15.6,1,0,0,0
0,"credit_card",0.1324,216.39,10.51867319,25.07,717,4590,13913,43,0,0,0,0
1,"debt_consolidation",0.1114,295.24,10.59663473,9.9,732,5460,9305,25.5,0,1,0,0
1,"debt_consolidation",0.1218,532.8,11.40756495,13.68,717,3809.958333,5630,17.8,2,0,0,0
1,"debt_consolidation",0.1284,302.57,10.71441777,9.68,712,6720.041667,2058,4.2,0,1,0,0
1,"all_other",0.1774,734.83,10.95080655,6.84,667,1830,1820,42.3,2,1,0,1
1,"all_other",0.1071,489.03,11.28978191,6.9,707,7410,8298,38.6,3,0,1,0
